index_id,date_anio,date,day_week,close,open,high,low,adj_close,volume
00030,2000,2000-02-11,4,31.5782,30.9554,31.5782,30.7082,9.9353,16819036
00031,2000,2000-02-14,0,31.1531,31.687,32.033,30.9059,9.8015,16445950
00032,2000,2000-02-15,1,29.9074,31.0444,31.1531,29.8678,9.4096,15080465
00033,2000,2000-02-16,2,29.3636,30.1545,30.3424,28.8198,9.2385,26510302
00034,2000,2000-02-17,3,29.1164,29.3636,29.7986,28.4738,9.1608,12978426
00035,2000,2000-02-18,4,29.2351,29.1659,29.7294,29.067,9.1981,14424677
00036,2000,2000-02-21,0,28.454,28.4738,28.8495,28.2069,8.9523,9806791
00037,2000,2000-02-22,1,27.7817,28.2761,28.9879,27.6334,8.7408,18251784
00038,2000,2000-02-23,2,28.0586,28.0289,28.5331,27.8608,8.8279,21328592
00039,2000,2000-02-24,3,28.8001,28.4738,29.6108,28.4145,9.0612,17394443
00040,2000,2000-02-25,4,29.4328,29.2153,29.5416,29.0373,9.2603,12404587
00041,2000,2000-02-28,0,29.0176,29.2647,29.5416,28.8693,9.1296,10612611
00042,2000,2000-02-29,1,29.5119,29.2153,29.7096,28.8198,9.2852,12789557
00043,2000,2000-03-01,2,29.5613,29.7887,30.4017,29.413,9.3007,13184409
00044,2000,2000-03-02,3,31.1432,29.8085,31.1432,29.5811,9.7984,20137906
00045,2000,2000-03-03,4,31.8353,31.3904,32.4285,28.6715,10.0162,22649524
00046,2000,2000-03-06,0,32.2308,32.3791,32.7449,31.8847,10.1406,13834806
00047,2000,2000-03-07,1,31.1432,32.2308,32.4285,31.1432,9.7984,11021825
00048,2000,2000-03-08,2,30.4709,30.5006,30.8961,29.9766,9.5869,14858784
00049,2000,2000-03-09,3,30.1644,30.55,30.7478,30.1644,9.4905,11280778
00050,2000,2000-03-10,4,29.9667,30.5401,30.9949,29.8382,9.4283,10922490
00051,2000,2000-03-13,0,29.9667,29.9667,29.9667,29.9667,9.4283,0
00052,2000,2000-03-14,1,29.8085,29.6602,30.1051,29.1263,9.3785,11385090
00053,2000,2000-03-15,2,28.3749,29.3636,29.5515,28.3255,8.9275,13523065
00054,2000,2000-03-16,3,27.9795,28.6715,28.9978,27.584,8.803,19786486
