index_id,date_anio,date,day_week,close,open,high,low,adj_close,volume
00035,2000,2000-02-22,1,1.3646,1.3594,1.3776,1.3125,1.2517,54249600
00036,2000,2000-02-23,2,1.3724,1.349,1.3867,1.332,1.2589,51139200
00037,2000,2000-02-24,3,1.3594,1.3802,1.3893,1.3021,1.247,24432000
00038,2000,2000-02-25,4,1.2747,1.3607,1.3607,1.2188,1.1693,27873600
00039,2000,2000-02-28,0,1.2656,1.2682,1.2812,1.2448,1.161,51787200
00040,2000,2000-02-29,1,1.3333,1.2578,1.349,1.2578,1.2231,30604800
00041,2000,2000-03-01,2,1.2943,1.3333,1.3333,1.2734,1.1872,38356800
00042,2000,2000-03-02,3,1.207,1.3047,1.3047,1.2031,1.1072,19104000
00043,2000,2000-03-03,4,1.2266,1.2083,1.2396,1.1979,1.1251,27369600
00044,2000,2000-03-06,0,1.2188,1.2344,1.3281,1.2083,1.118,43209600
00045,2000,2000-03-07,1,1.7357,1.5625,1.8177,1.4948,1.5921,195220800
00046,2000,2000-03-08,2,1.75,1.7347,1.7656,1.6094,1.6053,66873600
00047,2000,2000-03-09,3,2.0895,1.7708,2.25,1.7656,1.9167,95294400
00048,2000,2000-03-10,4,2.4583,2.1979,3.0208,2.1823,2.255,216120000
00049,2000,2000-03-13,0,3.1094,2.2292,3.125,2.2083,2.8522,241516800
00050,2000,2000-03-14,1,2.2943,3.0924,3.0924,2.25,2.1045,156777600
00051,2000,2000-03-15,2,2.2005,2.4587,2.5221,2.125,2.0185,99561600
00052,2000,2000-03-16,3,1.9619,2.2708,2.349,1.9297,1.7997,75038400
00053,2000,2000-03-17,4,2.0807,1.9167,2.2292,1.9163,1.9087,55761600
00054,2000,2000-03-20,0,2.0794,2.1628,2.2318,2.013,1.9075,36528000
00055,2000,2000-03-21,1,1.9766,2.0833,2.1016,1.8125,1.8131,53664000
00056,2000,2000-03-22,2,1.9909,1.9922,2.0521,1.9583,1.8262,23059200
00057,2000,2000-03-23,3,2.026,1.9727,2.1354,1.9688,1.8585,30940800
00058,2000,2000-03-24,4,1.9414,2.013,2.1042,1.875,1.7809,23160000
00059,2000,2000-03-27,0,1.8138,1.9375,2.0,1.7969,1.6638,38894400
00060,2000,2000-03-28,1,1.6784,1.7513,1.7708,1.6458,1.5396,39331200
00061,2000,2000-03-29,2,1.5677,1.6849,1.724,1.5,1.4381,46944000
00062,2000,2000-03-30,3,1.5586,1.5208,1.7031,1.4688,1.4297,36192000
00063,2000,2000-03-31,4,1.7601,1.665,1.8307,1.6354,1.6145,96297600
00064,2000,2000-04-03,0,1.6224,1.7441,1.75,1.5768,1.4882,32995200
00065,2000,2000-04-04,1,1.5625,1.7083,1.737,1.1875,1.4333,51379200
00066,2000,2000-04-05,2,1.9102,1.5781,2.0312,1.4974,1.7522,63960000
00067,2000,2000-04-06,3,1.9987,1.9987,2.1003,1.9036,1.8334,40459200
00068,2000,2000-04-07,4,2.1367,2.099,2.1875,2.0104,1.96,31857600
00069,2000,2000-04-10,0,1.9479,2.1732,2.2995,1.9076,1.7868,39528000
00070,2000,2000-04-11,1,1.832,1.8122,1.9792,1.6667,1.6805,45758400
00071,2000,2000-04-12,2,1.6419,1.8346,1.875,1.6354,1.5061,31344000
00072,2000,2000-04-13,3,1.5716,1.6549,1.7135,1.5443,1.4416,31329600
00073,2000,2000-04-14,4,1.4333,1.4714,1.5846,1.3646,1.3147,42192000
00074,2000,2000-04-17,0,1.5065,1.3125,1.5625,1.3125,1.3819,29409600
00075,2000,2000-04-18,1,1.7734,1.6582,1.8698,1.6094,1.6268,47750400
00076,2000,2000-04-19,2,1.6888,1.8294,1.8542,1.6667,1.5491,27835200
00077,2000,2000-04-20,3,1.6797,1.7344,1.7669,1.6562,1.5408,15393600
00078,2000,2000-04-24,0,1.5964,1.5833,1.6536,1.513,1.4643,20596800
00079,2000,2000-04-25,1,1.7708,1.668,1.8229,1.6641,1.6244,24969600
00080,2000,2000-04-26,2,1.7526,1.8945,1.9375,1.75,1.6077,25411200
00081,2000,2000-04-27,3,1.8958,1.6354,1.9141,1.6263,1.7391,28099200
00082,2000,2000-04-28,4,1.8568,1.9258,2.0,1.8568,1.7032,17904000
00083,2000,2000-05-01,0,1.9167,1.9271,1.9688,1.8711,1.7582,11942400
00084,2000,2000-05-02,1,1.8424,1.9167,2.0286,1.7891,1.6901,23400000
00085,2000,2000-05-03,2,1.8125,1.8307,1.8906,1.6667,1.6626,32918400
00086,2000,2000-05-04,3,1.8346,1.8086,1.9115,1.793,1.6829,24120000
00087,2000,2000-05-05,4,1.9193,1.8268,1.9635,1.8021,1.7606,17059200
00088,2000,2000-05-08,0,1.849,1.8698,1.9375,1.8464,1.6961,18513600
00089,2000,2000-05-09,1,1.8229,1.8802,1.8958,1.7708,1.6722,17683200
00090,2000,2000-05-10,2,1.6432,1.8047,1.806,1.6276,1.5073,27408000
00091,2000,2000-05-11,3,1.7135,1.6667,1.7435,1.6445,1.5718,24590400
00092,2000,2000-05-12,4,1.6615,1.7604,1.8542,1.6615,1.5241,18782400
00093,2000,2000-05-15,0,1.776,1.6536,1.8047,1.5729,1.6292,28209600
00094,2000,2000-05-16,1,1.9583,1.8542,2.0143,1.8333,1.7964,36643200
00095,2000,2000-05-17,2,2.3021,2.0625,2.388,2.0612,2.1117,129062400
00096,2000,2000-05-18,3,2.1458,2.3151,2.3529,2.1315,1.9684,50990400
00097,2000,2000-05-19,4,2.1276,2.0833,2.1979,2.0677,1.9517,52118400
00098,2000,2000-05-22,0,2.2656,2.1042,2.2656,1.918,2.0783,51715200
00099,2000,2000-05-23,1,2.2474,2.2083,2.457,2.1719,2.0615,77856000
00100,2000,2000-05-24,2,2.2188,2.2448,2.2812,1.9219,2.0353,73963200
00101,2000,2000-05-25,3,2.1875,2.2513,2.3854,2.1602,2.0066,56918400
00102,2000,2000-05-26,4,2.1986,2.1986,2.2591,2.0625,2.0168,18345600
00103,2000,2000-05-30,1,2.2891,2.2578,2.3464,2.2474,2.0998,30364800
00104,2000,2000-05-31,2,2.3776,2.2812,2.4167,2.2812,2.181,46953600
00105,2000,2000-06-01,3,2.444,2.4479,2.4701,2.3828,2.2419,41899200
00106,2000,2000-06-02,4,2.7409,2.4948,2.7708,2.4948,2.5142,59217600
00107,2000,2000-06-05,0,2.7998,2.737,2.9375,2.6276,2.5683,49190400
00108,2000,2000-06-06,1,2.6602,2.8099,2.9141,2.6458,2.4402,37588800
00109,2000,2000-06-07,2,2.5417,2.6406,2.6628,2.5026,2.3315,33235200
00110,2000,2000-06-08,3,2.5612,2.6068,2.6094,2.4583,2.3494,46070400
00111,2000,2000-06-09,4,2.6341,2.6094,2.75,2.5703,2.4163,46728000
00112,2000,2000-06-12,0,2.5638,2.6458,2.668,2.5052,2.3518,38001600
00113,2000,2000-06-13,1,2.6445,2.4922,2.6458,2.4792,2.4258,44784000
00114,2000,2000-06-14,2,2.6419,2.694,2.7083,2.6071,2.4234,27508800
00115,2000,2000-06-15,3,2.7109,2.6341,2.7109,2.4922,2.4867,33859200
00116,2000,2000-06-16,4,3.1198,2.7012,3.125,2.7005,2.8618,98784000
00117,2000,2000-06-19,0,3.3151,3.112,3.5677,3.0339,3.041,105216000
00118,2000,2000-06-20,1,3.2708,3.3724,3.4115,3.2292,3.0003,61027200
00119,2000,2000-06-21,2,3.6029,3.2201,3.6667,3.2201,3.3049,61488000
00120,2000,2000-06-22,3,3.4062,3.5872,3.6615,3.3724,3.1246,61435200
